2023-05-15 19:34:54 status half-installed coreutils:arm64 8.32-4
2023-05-15 19:34:55 status unpacked coreutils:arm64 8.32-4
2023-05-15 19:34:55 install dash:arm64 <none> 0.5.11+git20200708+dd9ef66-5
2023-05-15 19:34:55 status half-installed dash:arm64 0.5.11+git20200708+dd9ef66-5
2023-05-15 19:34:55 status unpacked dash:arm64 0.5.11+git20200708+dd9ef66-5
2023-05-15 19:34:55 install libdb5.3:arm64 <none> 5.3.28+dfsg1-0.8
2023-05-15 19:34:55 status half-installed libdb5.3:arm64 5.3.28+dfsg1-0.8
2023-05-15 19:34:55 status unpacked libdb5.3:arm64 5.3.28+dfsg1-0.8
2023-05-15 19:34:55 upgrade debconf:all 1.5.77 1.5.77
2023-05-15 19:34:55 status half-configured debconf:all 1.5.77
2023-05-15 19:34:55 status unpacked debconf:all 1.5.77
2023-05-15 19:34:55 status half-installed debconf:all 1.5.77
2023-05-15 19:34:56 status unpacked debconf:all 1.5.77
2023-05-15 19:34:56 install debian-archive-keyring:all <none> 2021.1.1
2023-05-15 19:34:56 status half-installed debian-archive-keyring:all 2021.1.1
2023-05-15 19:34:56 status unpacked debian-archive-keyring:all 2021.1.1
2023-05-15 19:34:57 install debianutils:arm64 <none> 4.11.2
2023-05-15 19:34:57 status half-installed debianutils:arm64 4.11.2
2023-05-15 19:34:57 status unpacked debianutils:arm64 4.11.2
2023-05-15 19:34:57 install diffutils:arm64 <none> 1:3.7-5
2023-05-15 19:34:57 status half-installed diffutils:arm64 1:3.7-5
2023-05-15 19:34:57 status unpacked diffutils:arm64 1:3.7-5
2023-05-15 19:34:57 upgrade dpkg:arm64 1.20.9 1.20.9
2023-05-15 19:34:57 status half-configured dpkg:arm64 1.20.9
2023-05-15 19:34:57 status unpacked dpkg:arm64 1.20.9
2023-05-15 19:34:57 status half-installed dpkg:arm64 1.20.9
2023-05-15 19:34:58 status unpacked dpkg:arm64 1.20.9
2023-05-15 19:34:58 install e2fsprogs:arm64 <none> 1.46.2-2
2023-05-15 19:34:58 status half-installed e2fsprogs:arm64 1.46.2-2
2023-05-15 19:34:58 status unpacked e2fsprogs:arm64 1.46.2-2
2023-05-15 19:34:58 install libcom-err2:arm64 <none> 1.46.2-2
2023-05-15 19:34:58 status half-installed libcom-err2:arm64 1.46.2-2
2023-05-15 19:34:58 status unpacked libcom-err2:arm64 1.46.2-2
2023-05-15 19:34:58 install libext2fs2:arm64 <none> 1.46.2-2
2023-05-15 19:34:58 status half-installed libext2fs2:arm64 1.46.2-2
2023-05-15 19:34:58 status unpacked libext2fs2:arm64 1.46.2-2
2023-05-15 19:34:58 install libss2:arm64 <none> 1.46.2-2
2023-05-15 19:34:58 status half-installed libss2:arm64 1.46.2-2
2023-05-15 19:34:59 status unpacked libss2:arm64 1.46.2-2
2023-05-15 19:34:59 install logsave:arm64 <none> 1.46.2-2
2023-05-15 19:34:59 status half-installed logsave:arm64 1.46.2-2
2023-05-15 19:34:59 status unpacked logsave:arm64 1.46.2-2
2023-05-15 19:34:59 install findutils:arm64 <none> 4.8.0-1
2023-05-15 19:34:59 status half-installed findutils:arm64 4.8.0-1
2023-05-15 19:34:59 status unpacked findutils:arm64 4.8.0-1
2023-05-15 19:34:59 install gcc-10-base:arm64 <none> 10.2.1-6
2023-05-15 19:34:59 status half-installed gcc-10-base:arm64 10.2.1-6
2023-05-15 19:34:59 status unpacked gcc-10-base:arm64 10.2.1-6
2023-05-15 19:34:59 install libgcc-s1:arm64 <none> 10.2.1-6
2023-05-15 19:34:59 status half-installed libgcc-s1:arm64 10.2.1-6
2023-05-15 19:34:59 status unpacked libgcc-s1:arm64 10.2.1-6
2023-05-15 19:35:00 install libstdc++6:arm64 <none> 10.2.1-6
2023-05-15 19:35:00 status half-installed libstdc++6:arm64 10.2.1-6
2023-05-15 19:35:00 status unpacked libstdc++6:arm64 10.2.1-6
2023-05-15 19:35:00 install gcc-9-base:arm64 <none> 9.3.0-22
2023-05-15 19:35:00 status half-installed gcc-9-base:arm64 9.3.0-22
2023-05-15 19:35:00 status unpacked gcc-9-base:arm64 9.3.0-22
2023-05-15 19:35:00 install libc-bin:arm64 <none> 2.31-13+deb11u2
2023-05-15 19:35:00 status half-installed libc-bin:arm64 2.31-13+deb11u2
2023-05-15 19:35:00 status unpacked libc-bin:arm64 2.31-13+deb11u2
2023-05-15 19:35:01 upgrade libc6:arm64 2.31-13+deb11u2 2.31-13+deb11u2
2023-05-15 19:35:01 status half-configured libc6:arm64 2.31-13+deb11u2
2023-05-15 19:35:01 status unpacked libc6:arm64 2.31-13+deb11u2
2023-05-15 19:35:01 status half-installed libc6:arm64 2.31-13+deb11u2
2023-05-15 19:35:02 status unpacked libc6:arm64 2.31-13+deb11u2
2023-05-15 19:35:02 install libgmp10:arm64 <none> 2:6.2.1+dfsg-1
2023-05-15 19:35:02 status half-installed libgmp10:arm64 2:6.2.1+dfsg-1
2023-05-15 19:35:03 status unpacked libgmp10:arm64 2:6.2.1+dfsg-1
2023-05-15 19:35:03 install gpgv:arm64 <none> 2.2.27-2
2023-05-15 19:35:03 status half-installed gpgv:arm64 2.2.27-2
2023-05-15 19:35:03 status unpacked gpgv:arm64 2.2.27-2
2023-05-15 19:35:03 install libgnutls30:arm64 <none> 3.7.1-5
2023-05-15 19:35:03 status half-installed libgnutls30:arm64 3.7.1-5
2023-05-15 19:35:03 status unpacked libgnutls30:arm64 3.7.1-5
2023-05-15 19:35:03 install grep:arm64 <none> 3.6-1
2023-05-15 19:35:03 status half-installed grep:arm64 3.6-1
2023-05-15 19:35:03 status unpacked grep:arm64 3.6-1
2023-05-15 19:35:04 install gzip:arm64 <none> 1.10-4
2023-05-15 19:35:04 status half-installed gzip:arm64 1.10-4
2023-05-15 19:35:04 status unpacked gzip:arm64 1.10-4
2023-05-15 19:35:04 install hostname:arm64 <none> 3.23
2023-05-15 19:35:04 status half-installed hostname:arm64 3.23
2023-05-15 19:35:04 status unpacked hostname:arm64 3.23
2023-05-15 19:35:04 install init-system-helpers:all <none> 1.60
2023-05-15 19:35:04 status half-installed init-system-helpers:all 1.60
2023-05-15 19:35:04 status unpacked init-system-helpers:all 1.60
2023-05-15 19:35:04 install libkeyutils1:arm64 <none> 1.6.1-2
2023-05-15 19:35:04 status half-installed libkeyutils1:arm64 1.6.1-2
2023-05-15 19:35:04 status unpacked libkeyutils1:arm64 1.6.1-2
2023-05-15 19:35:04 install libgssapi-krb5-2:arm64 <none> 1.18.3-6+deb11u1
2023-05-15 19:35:04 status half-installed libgssapi-krb5-2:arm64 1.18.3-6+deb11u1
2023-05-15 19:35:05 status unpacked libgssapi-krb5-2:arm64 1.18.3-6+deb11u1
2023-05-15 19:35:05 install libk5crypto3:arm64 <none> 1.18.3-6+deb11u1
2023-05-15 19:35:05 status half-installed libk5crypto3:arm64 1.18.3-6+deb11u1
2023-05-15 19:35:05 status unpacked libk5crypto3:arm64 1.18.3-6+deb11u1
2023-05-15 19:35:05 install libkrb5-3:arm64 <none> 1.18.3-6+deb11u1
2023-05-15 19:35:05 status half-installed libkrb5-3:arm64 1.18.3-6+deb11u1
2023-05-15 19:35:05 status unpacked libkrb5-3:arm64 1.18.3-6+deb11u1
2023-05-15 19:35:05 install libkrb5support0:arm64 <none> 1.18.3-6+deb11u1
2023-05-15 19:35:05 status half-installed libkrb5support0:arm64 1.18.3-6+deb11u1
2023-05-15 19:35:05 status unpacked libkrb5support0:arm64 1.18.3-6+deb11u1
2023-05-15 19:35:05 install libcap-ng0:arm64 <none> 0.7.9-2.2+b1
2023-05-15 19:35:05 status half-installed libcap-ng0:arm64 0.7.9-2.2+b1
2023-05-15 19:35:05 status unpacked libcap-ng0:arm64 0.7.9-2.2+b1
2023-05-15 19:35:06 install libffi7:arm64 <none> 3.3-6
2023-05-15 19:35:06 status half-installed libffi7:arm64 3.3-6
2023-05-15 19:35:06 status unpacked libffi7:arm64 3.3-6
2023-05-15 19:35:06 install libgcrypt20:arm64 <none> 1.8.7-6
2023-05-15 19:35:06 status half-installed libgcrypt20:arm64 1.8.7-6
2023-05-15 19:35:06 status unpacked libgcrypt20:arm64 1.8.7-6
2023-05-15 19:35:06 install libgpg-error0:arm64 <none> 1.38-2
2023-05-15 19:35:06 status half-installed libgpg-error0:arm64 1.38-2
2023-05-15 19:35:06 status unpacked libgpg-error0:arm64 1.38-2
2023-05-15 19:35:06 install libidn2-0:arm64 <none> 2.3.0-5
2023-05-15 19:35:06 status half-installed libidn2-0:arm64 2.3.0-5
2023-05-15 19:35:06 status unpacked libidn2-0:arm64 2.3.0-5
2023-05-15 19:35:07 install libnsl2:arm64 <none> 1.3.0-2
2023-05-15 19:35:07 status half-installed libnsl2:arm64 1.3.0-2
2023-05-15 19:35:07 status unpacked libnsl2:arm64 1.3.0-2
2023-05-15 19:35:07 install libseccomp2:arm64 <none> 2.5.1-1
2023-05-15 19:35:07 status half-installed libseccomp2:arm64 2.5.1-1
2023-05-15 19:35:07 status unpacked libseccomp2:arm64 2.5.1-1
2023-05-15 19:35:07 install libselinux1:arm64 <none> 3.1-3
2023-05-15 19:35:07 status half-installed libselinux1:arm64 3.1-3
2023-05-15 19:35:07 status unpacked libselinux1:arm64 3.1-3
2023-05-15 19:35:07 install libsemanage-common:all <none> 3.1-1
2023-05-15 19:35:07 status half-installed libsemanage-common:all 3.1-1
2023-05-15 19:35:07 status unpacked libsemanage-common:all 3.1-1
2023-05-15 19:35:07 install libsemanage1:arm64 <none> 3.1-1+b2
2023-05-15 19:35:07 status half-installed libsemanage1:arm64 3.1-1+b2
2023-05-15 19:35:08 status unpacked libsemanage1:arm64 3.1-1+b2
2023-05-15 19:35:08 install libsepol1:arm64 <none> 3.1-1
2023-05-15 19:35:08 status half-installed libsepol1:arm64 3.1-1
2023-05-15 19:35:08 status unpacked libsepol1:arm64 3.1-1
2023-05-15 19:35:08 install libtasn1-6:arm64 <none> 4.16.0-2
2023-05-15 19:35:08 status half-installed libtasn1-6:arm64 4.16.0-2
2023-05-15 19:35:08 status unpacked libtasn1-6:arm64 4.16.0-2
2023-05-15 19:35:08 install libtirpc-common:all <none> 1.3.1-1
2023-05-15 19:35:08 status half-installed libtirpc-common:all 1.3.1-1
2023-05-15 19:35:08 status unpacked libtirpc-common:all 1.3.1-1
2023-05-15 19:35:08 install libtirpc3:arm64 <none> 1.3.1-1
2023-05-15 19:35:08 status half-installed libtirpc3:arm64 1.3.1-1
2023-05-15 19:35:08 status unpacked libtirpc3:arm64 1.3.1-1
2023-05-15 19:35:08 install libunistring2:arm64 <none> 0.9.10-4
2023-05-15 19:35:08 status half-installed libunistring2:arm64 0.9.10-4
2023-05-15 19:35:09 status unpacked libunistring2:arm64 0.9.10-4
2023-05-15 19:35:09 install libcrypt1:arm64 <none> 1:4.4.18-4
2023-05-15 19:35:09 status half-installed libcrypt1:arm64 1:4.4.18-4
2023-05-15 19:35:09 status unpacked libcrypt1:arm64 1:4.4.18-4
2023-05-15 19:35:09 install libzstd1:arm64 <none> 1.4.8+dfsg-2.1
2023-05-15 19:35:09 status half-installed libzstd1:arm64 1.4.8+dfsg-2.1
2023-05-15 19:35:09 status unpacked libzstd1:arm64 1.4.8+dfsg-2.1
2023-05-15 19:35:09 install lsb-base:all <none> 11.1.0
2023-05-15 19:35:09 status half-installed lsb-base:all 11.1.0
2023-05-15 19:35:09 status unpacked lsb-base:all 11.1.0
2023-05-15 19:35:09 install liblz4-1:arm64 <none> 1.9.3-2
2023-05-15 19:35:09 status half-installed liblz4-1:arm64 1.9.3-2
